running_best_fitness,generation,seed,instance,best_fitness_at_generation,algorithm,instance_path
1022.0,255,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,256,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,257,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,258,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,259,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,260,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,261,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,262,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,263,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,264,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,265,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,266,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,267,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,268,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,269,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,270,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,271,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,272,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,273,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,274,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,275,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,276,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,277,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,278,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,279,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,280,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,281,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,282,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,283,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,284,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,285,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1022.0,286,1,A-n32-k5.vrp,1022.0,GA,data/vrp/A-n32-k5.vrp
1019.0,287,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,288,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,289,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,290,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,291,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,292,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,293,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
1019.0,294,1,A-n32-k5.vrp,1019.0,GA,data/vrp/A-n32-k5.vrp
